,best_epoch,best_mse,epoch,v_rmse,v_mse,v_r,t_rmse,t_mse,t_r,aver_rp,aver_rsp
0,0,18.734817504882812,0,4.328373540359336,18.734817504882812,0.048620045327330434,4.325865227916003,18.713109970092773,0.22463162462934044,0.0,0.0
1,1,2.162656784057617,1,1.4705974241979405,2.162656784057617,0.038087823845544766,1.460114109335388,2.1319332122802734,0.21558242776592193,0.0,0.0
2,1,2.162656784057617,2,2.8659171218655044,8.213480949401855,0.04543866204547034,2.851401128514001,8.130488395690918,0.22475202298276128,0.0,0.0
3,1,2.162656784057617,3,4.097811016872897,16.792055130004883,0.0420621221116169,4.076741067784984,16.61981773376465,0.22371744458460271,0.0,0.0
4,1,2.162656784057617,4,3.828804672005302,14.659745216369629,0.05872355616593864,3.7999885257748485,14.439912796020508,0.23555027454747335,0.0,0.0
5,1,2.162656784057617,5,2.5556025834755194,6.531104564666748,0.06064637457906029,2.5172887951048057,6.336742877960205,0.23766612305463286,0.0,0.0
6,6,1.4681727886199951,6,1.211681801720235,1.4681727886199951,0.06146406176624185,1.1682937323043856,1.3649102449417114,0.2382232952916873,0.0,0.0
7,6,1.4681727886199951,7,1.9373285771491173,3.753242015838623,0.06061520300370316,1.872403126694893,3.5058934688568115,0.23738664406867427,0.0,0.0
8,6,1.4681727886199951,8,2.863691230347391,8.200727462768555,0.06352402597198446,2.7880657562754716,7.773310661315918,0.2400856117563919,0.0,0.0
9,6,1.4681727886199951,9,3.0939928980562734,9.572792053222656,0.06298310031450019,3.005085449527178,9.030538558959961,0.2400781105289611,0.0,0.0
10,6,1.4681727886199951,10,2.783298895007979,7.746752738952637,0.06501074250698563,2.6798133931740673,7.181399822235107,0.24144421903612426,0.0,0.0
11,6,1.4681727886199951,11,2.068482133286115,4.278618335723877,0.06544555654786031,1.9461898357326257,3.7876548767089844,0.24212129290807363,0.0,0.0
12,6,1.4681727886199951,12,1.364105718568161,1.8607844114303589,0.06611278585097895,1.2411119134931285,1.5403587818145752,0.24319156098994058,0.0,0.0
13,6,1.4681727886199951,13,1.3264409327435414,1.7594455480575562,0.06604495027491084,1.2352244194854736,1.525779366493225,0.24345746346025818,0.0,0.0
14,6,1.4681727886199951,14,1.3986662352624621,1.956267237663269,0.0702233285315047,1.25732834306059,1.5808745622634888,0.24660709788664584,0.0,0.0
15,6,1.4681727886199951,15,1.6751607533079378,2.8061635494232178,0.07185963134484923,1.4991168760322728,2.2473514080047607,0.24788220704259675,0.0,0.0
16,6,1.4681727886199951,16,1.8517240944697444,3.428882122039795,0.07041747940199522,1.6597369932459984,2.7547268867492676,0.2470761471074261,0.0,0.0
17,6,1.4681727886199951,17,1.8025455065946951,3.2491703033447266,0.06956916433191448,1.5999336705764213,2.5597877502441406,0.24665007362899688,0.0,0.0
18,6,1.4681727886199951,18,1.625687307111906,2.6428592205047607,0.06857329126658011,1.4316511166800931,2.0496249198913574,0.24611943907532274,0.0,0.0
19,6,1.4681727886199951,19,1.561233770379281,2.437450885772705,0.06725156676249411,1.4291575966297905,2.0424914360046387,0.245419310531584,0.0,0.0
20,6,1.4681727886199951,20,1.7925975805986176,3.2134060859680176,0.06451482737724841,1.7545086138501056,3.0783004760742188,0.24381892745611758,0.0,0.0
